title,canonical_name,cuisine,score,version_rank,total_versions,ingredients_count,steps_count
梅干菜酥饼,梅干菜酥饼,浙菜,0.7350000000000001,1,1,5,32
龙游发糕,龙游发糕,浙菜,0.635,1,1,4,4
糟烩鞭笋,糟烩鞭笋,浙菜,0.6600000000000001,1,1,6,3
宽粉面结汤,宽粉面结汤,浙菜,0.585,1,1,5,8
梅干菜炖排骨,梅干菜炖排骨,浙菜,0.7131249999999999,1,1,8,22
杭椒牛柳,杭椒牛柳,浙菜,0.725,1,2,9,7
杭椒牛柳,杭椒牛柳,浙菜,0.7150000000000001,2,2,10,4
南瓜蒸肉,南瓜蒸肉,浙菜,0.5650000000000001,1,1,6,3
奇亚籽腐乳肉,奇亚籽腐乳肉,浙菜,0.6799999999999999,1,1,4,9
开洋肉米芋头羹,开洋肉米芋头羹,浙菜,0.7050000000000001,1,1,7,11
蕃莳庆糕,蕃莳庆糕,浙菜,0.63,1,1,5,9
萝卜丝索面,萝卜丝索面,浙菜,0.5249999999999999,1,1,5,5
米筛爬,米筛爬,浙菜,0.64,1,1,8,24
咸干菜扣肉,咸干菜扣肉,浙菜,0.61,1,1,9,21
八宝鸡,八宝鸡,浙菜,0.6603571428571429,1,1,14,8
番薯汤果,番薯汤果,浙菜,0.49999999999999994,1,1,3,7
东坡肉,东坡肉,浙菜,0.715,1,1,9,8
西湖牛肉羹,西湖牛肉羹,浙菜,0.6645454545454546,1,1,11,8
清蒸鳜鱼,清蒸鳜鱼,浙菜,0.765,1,1,7,5
包菜炒年糕,包菜炒年糕,浙菜,0.765,1,1,5,7
桂花糯米藕,桂花糯米藕,浙菜,0.5900000000000001,1,1,3,8
宋嫂鱼羹,宋嫂鱼羹,浙菜,0.7516666666666667,1,1,9,6
萌趣猫爪青团,萌趣猫爪青团,浙菜,0.5978571428571429,1,1,7,14
烤菜年糕,烤菜年糕,浙菜,0.6974999999999999,1,1,6,10
剁椒鱼头,剁椒鱼头,湘菜,0.9156250000000001,1,23,8,9
剁椒鱼头,剁椒鱼头,湘菜,0.8500000000000001,2,23,9,20
擂辣椒皮蛋,擂辣椒皮蛋,湘菜,0.7056250000000001,1,3,8,3
擂辣椒茄子皮蛋,擂辣椒皮蛋,湘菜,0.645,2,3,5,9
湖南猪油拌粉,湖南猪油拌粉,湘菜,0.73,1,1,11,3
湖南面子扣肉,湖南面子扣肉,湘菜,0.765625,1,1,8,9
湖蒜蓉剁辣椒,湖蒜蓉剁辣椒,湘菜,0.645,1,1,5,6
麻婆豆腐,麻婆豆腐,湘菜,0.76,1,1,12,25
麻辣小龙虾,麻辣小龙虾,湘菜,0.8200000000000001,1,8,14,13
麻辣小龙虾,麻辣小龙虾,湘菜,0.7966666666666666,2,8,9,9
腊味合蒸,腊味合蒸,湘菜,0.665,1,1,4,4
干捞粉丝,干捞粉丝,湘菜,0.64,1,1,9,11
剁椒萝卜皮,剁椒萝卜皮,湘菜,0.5599999999999999,1,1,4,3
坛子菜蒸五花肉,坛子菜蒸五花肉,湘菜,0.5571428571428572,1,1,7,7
蒜香腊鸡腿,蒜香腊鸡腿,湘菜,0.75,1,1,6,9
外婆菜,外婆菜,湘菜,0.625,1,1,12,12
小炒牛肉,小炒牛肉,湘菜,0.7274999999999999,1,2,12,5
小炒牛肉,小炒牛肉,湘菜,0.685,2,2,8,13
芷江鸭,芷江鸭,湘菜,0.6941666666666667,1,1,18,5
炒汤粉,炒汤粉,湘菜,0.5800000000000001,1,1,8,11
香辣小龙虾,香辣小龙虾,湘菜,0.6836363636363636,1,2,11,7
香辣龙虾,香辣小龙虾,湘菜,0.6583333333333332,2,2,9,9
外婆菜炒鸡蛋,外婆菜炒鸡蛋,湘菜,0.545,1,1,3,7
辣炒小龙虾,辣炒小龙虾,湘菜,0.6333333333333334,1,1,9,5
自制湖南米豆腐,自制湖南米豆腐,湘菜,0.6900000000000001,1,1,6,22
双椒蒸鱼,双椒蒸鱼,湘菜,0.6237499999999999,1,1,4,10
双色鱼头,双色鱼头,湘菜,0.835,1,1,12,10
湖南坛子伏鱼,湖南坛子伏鱼,湘菜,0.635,1,1,3,9
双椒鱼头,双椒鱼头,湘菜,0.765,1,1,9,11
土匪鸡,土匪鸡,湘菜,0.865,1,1,21,9
辣炒小干鱼,辣炒小干鱼,湘菜,0.585,1,1,5,3
炒血鸭,炒血鸭,湘菜,0.5700000000000001,1,1,5,4
臭豆腐,臭豆腐,湘菜,0.49625,1,1,4,7
腌萝卜干炒腊肉,腌萝卜干炒腊肉,湘菜,0.7200000000000001,1,1,9,14
